,Corr,P
MED15,-0.424877010433474,2.23006081009336e-23
MEDAG,-0.62334413600748,2.83299294316226e-55
MEGF6,-0.541984335358115,1.35587245496366e-39
MEIS3,-0.531790531597226,6.40963991234995e-38
MEOX2,-0.427003648917426,1.27756421452119e-23
MEX3A,-0.448894068180646,3.26552163911803e-26
MEX3B,-0.5285322496048,2.13884049648945e-37
MEX3C,-0.482260191088545,1.52425938308682e-30
MEX3D,-0.416551348085143,1.90147758551693e-22
MFAP2,-0.557185395688382,3.35777216787784e-42
MFAP4,-0.57309910618386,4.46614906683061e-45
MFAP5,-0.519799649269484,5.07135723784539e-36
MFGE8,-0.472144492532354,3.52182123195255e-29
MGAT3,-0.404449828297125,3.85847794137289e-21
MGAT4C,-0.467964520321662,1.25063648697374e-28
MICAL1,-0.408894024031952,1.29566567585333e-21
MICAL2,-0.492629754151068,5.45909953293479e-32
MICALL2,-0.486474252764742,3.99395821605378e-31
MIDN,-0.545943392089081,2.92584646180027e-40
MIER2,-0.444239620728911,1.20515726252133e-25
MKNK1,-0.448623708928414,3.52478290502218e-26
MLLT11,-0.479593694736237,3.52335573613984e-30
MLLT6,-0.422052810114914,4.64474592706012e-23
MMP11,-0.481705068532138,1.81585198851804e-30
MMP14,-0.552927357722454,1.86038003618659e-41
MMP19,-0.58571619838615,1.80066395729329e-47
MMP2,-0.6731869196505,2.06798605985576e-67
MMP23B,-0.419292284168359,9.45206823375692e-23
MN1,-0.561154236424575,6.6569546788703e-43
MOV10,-0.406528750991515,2.3206398721628e-21
MPP3,-0.406730841654775,2.20831132505665e-21
MPRIP,-0.528535063412949,2.13662789107534e-37
MPZL1,-0.421890520382508,4.84374539848361e-23
MPZL2,-0.472909845335878,2.78722264737117e-29
MPZL3,-0.448380813460197,3.77499501384371e-26
MRC1,-0.471296084379073,4.56130235414504e-29
MRC2,-0.498713528845473,7.33654094115324e-33
MRGPRF,-0.548056822503942,1.27967021088614e-40
MRVI1,-0.501838097266271,2.57620604345634e-33
MS4A2,-0.40467251556903,3.65458368955361e-21
MS4A4E,-0.421479699988329,5.38589122218419e-23
MSC,-0.422547159866887,4.08698584125867e-23
MSL1,-0.45619703051871,4.03998347637402e-27
MSL3,-0.446779190654251,5.92529533150615e-26
MSRB3,-0.564678237497301,1.55337462808164e-43
MSS51,-0.413434077801068,4.17790365624841e-22
MST1R,-0.43135524040413,4.03597415827749e-24
MSX1,-0.470907508065317,5.13367116785757e-29
MT3,0.429397968785082,6.79100014378823e-24
MTF2,-0.453517702228192,8.7478200020134e-27
MTMR11,-0.49942414511718,5.78807587792481e-33
MTSS2,-0.436006109614902,1.15616019223961e-24
MXD1,-0.414226354155977,3.4230203875887e-22
MXRA5,-0.43943665180487,4.54078766074202e-25
MXRA7,-0.400956220189213,8.9950163223442e-21
MXRA8,-0.507500951306275,3.7599973373368e-34
MYADM,-0.587568533820541,7.85256122320924e-48
MYC,-0.40392640179924,4.38294980250723e-21
MYD88,-0.410185180840371,9.40736830714205e-22
MYH10,-0.465928817462012,2.30372867989281e-28
MYH11,-0.503514920991529,1.46259043706303e-33
MYH9,-0.468519108354865,1.05814679753714e-28
MYL9,-0.45145938250801,1.57631591659804e-26
MYLK,-0.542826303063525,9.80231821301233e-40
MYO15B,-0.483103613609282,1.16758733291327e-30
MYO1B,-0.560130057043719,1.01283243223094e-42
MYO1G,-0.430078635431466,5.66906567175279e-24
MYO6,-0.406563574737198,2.3008896841899e-21
MYO7B,-0.401135129472739,8.61555403871461e-21
MYO9B,-0.520926505099706,3.38794461276356e-36
